英文,中文(DM),中文(github),中文(内部),日文
house-n,,,,家-n
Action on exiting caption,对退出符的响应方式,对退出符的响应方式,对退出符的响应方式,
threshold,阈值,阈值,阈值,しきい値
Corruption Preserve:,,,,Corruption Preserve:
Create an aesthetic embedding out of any number of images,从任意数量的图像中创建美术风格 Embedding,从任意数量的图像中创建美术风格 Embedding,从任意数量的图像中创建美术风格 Embedding,任意の数の画像からAesthetic embeddingを作成します
Weight 5,权重 5,权重 5,权重 5,重み 5
Max Token Length,最大词元(Token)长度,最大词元(Token)长度,最大词元(Token)长度,最大トークンの長さ
Remove selected tags,移除已选择的的 Tag,,,選択したタグを削除する
free_google,,,,free_google
tile division BG Remover,分块处理设置,,,
fy,,,,fy
PLMS,PLMS,,,PLMS
Discord Rich Presence,,,,Discord Rich Presence
th,,,,th
Var. strength,差异强度,差异强度,差异强度,変化の強度
Provides an interface to browse created images in the web browser.,在网页浏览器里提供一个查看生成图像历史的界面,在网页浏览器里提供一个查看生成图像历史的界面,在网页浏览器里提供一个查看生成图像历史的界面,Webブラウザで作成された画像を閲覧するためのインターフェースを提供します。
Minimum width,,,最小宽度,
sentencecase,,,,文ケース
This parameter commands the new dynamic algorithm.,,,,このパラメータは、新しいダイナミックアルゴリズムを指令します。
spaceship-digipa-med-impact,,,,宇宙船演算子(digipa-med-impact)
dog-weird,,,,犬-奇妙
Input images directory,输入图像目录,输入图像目录,输入图像目录,入力画像のディレクトリ
cartoon,,,,カートゥーン
Length,按长度,,,長さ
Use EMA,,,,EMAを使用
Next Image After Ranking (To be implemented),,,,次回画像ランキング(実装予定)
Moving the canvas,,,移动画布,
{2$$__artist__|__artist__},{2$$__艺术家__|__艺术家_},{2$$__艺术家__|__艺术家_},{2$$__艺术家__|__艺术家_},{2$$__artist__|__artist__}
"Hybrid motion may be used with hybrid composite off, to just use video motion.",,,,ハイブリッドモーションは、ビデオモーションを使用するために、ハイブリッド複合材と一緒に使用することができます。
Aesthestic Score,美学评分,,,
x2,,,,x2
portrait-weird,,,,肖像画-奇妙
ControlNet v1.1.288,扩散控制网络(ControlNet),,,
Prompt template,,,提示词模版,プロンプトのテンプレート
Aesthetic Gradients,美术风格梯度,美术风格梯度,美术风格梯度,Aesthetic Gradients
Decode CFG scale,解码提示词相关性(CFG scale),解码提示词相关性(CFG scale),解码提示词相关性(CFG scale),CFGスケールをデコード
Main,,,,メイン
give it a star on GitHub,,,,GitHubでスターをつけてください
Enter input path,键入输入路径,,输入拆分输入的路径,
Old unmaintained localizations that used to be a part of main repository,曾经在主分支上但现在不再维护的旧语言包,曾经在主分支上但现在不再维护的旧语言包,曾经在主分支上但现在不再维护的旧语言包,メインリポジトリの一部だった古いメンテナンスされていない翻訳
Comp mask inverse,,,,コンポジットマスクの反転
Show image creation progress every N sampling steps. Set 0 to disable.,每 N 个采样迭代步数显示图像生成进度。设置 0 禁用,每 N 个采样迭代步数显示图像生成进度。设置 0 禁用,每 N 个采样迭代步数显示图像生成进度。设置 0 禁用,
Position/Rotate Z,,,,位置/z軸回転
subseed_strength,,差异随机种子强度,差异随机种子强度,
Save Caption to .txt File,储存描述文本为 .txt 文件,储存描述文本为 .txt 文件,储存描述文本为 .txt 文件,
*READ ME before you use this mode!*,,,,*このモードを使用する前に読んでください！*
Model 1,模型 1,模型 1,模型 1,モデル 1
FFmpeg settings,,,,FFmpegの設定
Enable MultiDiffusion,启用分块多重扩散(MultiDiffusion),启用 MultiDiffusion,启用 MultiDiffusion,MultiDiffusionを有効にする
loss type,,,,損失種別
Norwegian localization,,,,ノルウェー語翻訳
Logos,Logo,,,
Threshold,最低Tag置信阈值 (置信度大于此值的标签将被写入生成的Tags),阈值,阈值,しきい値
Italian localization,,,,イタリア語翻訳
ControlNet v1.1.213,扩散控制网络(ControlNet),,,
"Mask color, enables Inpaint Sketch mode ? sketch_color",,,,マスクの色、inpaintスケッチモードを有効にする ? sketch_color
Additional tags (split by comma),附加标签(逗号分隔),附加标签(逗号分隔),附加标签(逗号分隔),追加タグ (カンマで区切る)
Comp mask auto contrast,,,,コンポジットマスクの自動コントラスト
Steps Animation,,,,Steps Animation
Leave empty to use the same name as onnx and put results into models/Unet-trt directory,,,留空则使用与ONNX相同的名称，并将结果放入models/Unet-trt目录中。,
Embeddings editor,Embeddings 编辑器,Embeddings 编辑器,Embeddings 编辑器,Embeddings editor
Sample guidance scale,样本的指导尺度(guidance scale) - 类似基准 CFG scale 的概念,样本的指导尺度(guidance scale) - 类似基准 CFG scale 的概念,样本的指导尺度(guidance scale) - 类似基准 CFG scale 的概念,
Encoder Color Fix,快速编码颜色修复,编码器颜色修复,编码器颜色修复,高速エンコーダの色修正を使用
Attention grabber,随机关键词吸引注意力,随机关键词吸引注意力,随机关键词吸引注意力,Attention grabber（プロンプトの後ろの: 1.5などのこと）
Complete documentation is available at https://github.com/adieyal/sd-dynamic-prompts. Please report any issues on GitHub.,,,,完全なドキュメントは https://github.com/adieyal/sd-dynamic-promptsで入手できます。GitHubで問題を報告してください。
save model,保存模型,,,
yo,,,,yo
Apply and quit,,,应用并退出,
Add image number to grid,,,,Add image number to grid
silu,silu,,,silu
No Preview Found,,,,プレビューが見つかりませんでした
A prompt for generating classification/regularization images. See the readme for more info.,生成分类/规范化图像用的提示词。详细信息请参阅 readme,生成分类/规范化图像用的提示词。详细信息请参阅 readme,生成分类/规范化图像用的提示词。详细信息请参阅 readme,
auto-sd-paint-ext Guide/Panel,,,,auto-sd-paint-ext ガイド/パネル
Base Ratio,全局提示词权重（每个区域可单独设置，逗号分隔）,,,ベースプロンプトの比率
deforum-for-automatic1111-webui,Deforum,Deforum,Deforum,deforum-for-automatic1111-webui
openai,,,,openai
eval,,,,評価
for ade20k and,查看 ADE20k协议 类别与ID的映射关系，点击,,”来查看ADE20K协议，点击“,
ControlNet v1.1.234,扩散控制网络(ControlNet),,,
Instance Prompt,,,,インスタンスプロンプト
Description,描述,描述,描述,説明
Concepts List (Overrides instance/class settings below),概念列表（将取代下面实例/类这两项设置）,概念列表（将取代下面实例/类这两项设置）,概念列表（将取代下面实例/类这两项设置）,
antonyms: Replaces the content with one or more antonyms.,,,,反意語：コンテンツを1つ以上の反意語で置き換えます。
Filter Images,筛选出的图像,,,画像をフィルター
remake dimension,重置维度,,,
(B1) Secondary,,(B1) 第二,(B1) 第二,
Control Mode,控制干涉模式,,干涉模式,
LMSDiscrete,,,,LMSDiscrete
Depth Image I/O,,,,Depth Image I/O
Randomly decide to flip images horizontally.,随机决定要不要水平翻转图像,随机决定要不要水平翻转图像,随机决定要不要水平翻转图像,
ControlNet v1.1.235,扩散控制网络(ControlNet),,,
IN02,,输入层02,输入层02,
Seams fix,,,,Seams fix
Duplicate Skeleton (Z-axis),Z轴方向添加骨架（纵深方向）,,,
Train Imagic Only,,,,画像のみでトレーニング
Rotation 3D Z,,,,3D回転Z
Depth Warping,,,,深度ワーピング
a1111-sd-webui-tagcomplete,Tag自动补全,Tag自动补全,Tag自动补全,a1111-sd-webui-tagcomplete
"Shuffleing tags by ',' when create texts.","创建文本时打乱以 ',' 分割的 tags","创建文本时打乱以 ',' 分割的 tags","创建文本时打乱以 ',' 分割的 tags",
dog-fineart,,,,犬-ファインアート
This is a mix from old style to new style. It is not in it's finished state,此插件尚处于新旧交接之际，并非最终版本,此插件尚处于新旧交接之际，并非最终版本,此插件尚处于新旧交接之际，并非最终版本,
Blur edges size ? blur_size,,,,エッジのぼかしサイズ ? blur_size
"How many times to process an image. Each output is used as the input of the next loop. If set to 1, behavior will be as if this script were not used.",,,,画像を処理する回数。各出力は、次のループの入力として使用されます。1に設定すると、このスクリプトが使用されていない場合と同様の動作になります。
query,队列相关,查询,查询,クエリ
Ascending,升序,,,昇順
Color variation,色彩变化,色彩变化,色彩变化,カラーバリエーション
Number of sampling steps to use when generating preview images.,生成预览图像时要使用的采样迭代步数,生成预览图像时要使用的采样迭代步数,生成预览图像时要使用的采样迭代步数,
stability_score_threshold,稳定性评分 阈值(Stability Score Threshold),,,
zu,,,,zu
digipa-low-impact,,,,digipaローインパクト
Do not fix prompt schedule for second order samplers.,使用二阶采样器时，不要修正动态提示词调度（依旧保持占有相同采样比例，先写入的提示词会产生更大影响，即使用“[tag1:tag2:0.5]”时，tag1的影响力占绝对优势，使用“[tag1:tag2:0.3]”时，才能使两个tag影响力均衡,,不为二阶采样方法修复提示词作用时间,
Resize the image so that entirety of target resolution is filled with the image. Crop parts that stick out.,调整图像大小，使整个目标分辨率都被图像填充。裁剪多出来的部分,调整图像大小，使整个目标分辨率都被图像填充。裁剪多出来的部分,调整图像大小，使整个目标分辨率都被图像填充。裁剪多出来的部分,対象の解像度に画像をフィットさせます。はみ出た部分は切り取られます。
Evaluation method ? _is,,,,評価方法 ? _is
Effect,,,,効果
Sample Image Generation,,,,サンプル画像の生成
Optional information about Hypernetwork,,,,Hypernetwork に関するオプション情報
tile_resample,二次采样（tile 模型）,,重采样（tile）,
Reload Tags,重新加载标签,,,
Reset recipe text area,,重置配方文本区域,重置配方文本区域,
Slerp interpolation,球面线性插值,球面线性插值,球面线性插值,スラープ補間（補間）
convert,转换,转换,转换,
Image,图像,图像,图像,画像
Train Model,训练模型,训练模型,训练模型,
EXIF keyword search,图片附加信息检索,,EXIF关键字搜索,EXIF キーワード検索
R-ESRGAN 4x+,,,R-ESRGAN 4x+（新手写实向首选）,R-ESRGAN 4x+
(O7) Output ckpt Name,,(O7) ckpt 输出名,(O7) ckpt 输出名,
screen,,,,スクリーン
Upscaler for img2img,图生图的放大算法,图生图的放大算法,图生图的放大算法,img2imgで使うアップスケーラー
Draw tiles as background (SLOW but save VRAM) ,分块绘制背景（较慢但节省显存）,,,
Batch settings,,批次设定,批次设定,
Calculate training parameters for a non-human subject. Disables prior preservation.,计算训练非人物主体需要的参数。并禁用先验存留(prior preservation),计算训练非人物主体需要的参数。并禁用先验存留(prior preservation),计算训练非人物主体需要的参数。并禁用先验存留(prior preservation),
https://github.com/camenduru/stable-diffusion-webui-artists-to-study.git,,,,https://github.com/camenduru/stable-diffusion-webui-artists-to-study.git
must be positive float,,,,正の小数である必要があります
Face margin,,,边缘保留程度,
https://github.com/toriato/stable-diffusion-webui-daam.git,,,,https://github.com/toriato/stable-diffusion-webui-daam.git
Number of vectors per token,每个词元(token)的向量数,每个词元(token)的向量数,每个词元(token)的向量数,トークン毎のベクトル数
"Set the maximum number of words to be used in the [prompt_words] option; ATTENTION: If the words are too long, they may exceed the maximum length of the file path that the system can handle",设置在[prompt_words]选项中要使用的最大字数；注意：如果字数太长，可能会超过系统可处理的文件路径的最大长度,设置在[prompt_words]选项中要使用的最大字数；注意：如果字数太长，可能会超过系统可处理的文件路径的最大长度,设置在[prompt_words]选项中要使用的最大字数；注意：如果字数太长，可能会超过系统可处理的文件路径的最大长度,
Reservation,预约信息,,,
tp_iflytek,,,,tp_iflytek
Face detection confidence,,,检测置信度,
sd-web-ui-kitchen-theme,Kitchen 主题,Kitchen 主题,Kitchen 主题,
ControlNet v1.1.197,扩散控制网络(ControlNet),,,
vary_coeff,,,,vary_coeff
"Negative Prompt, will be appended to your i2i negative prompt",输入区域负面提示词(Negative Prompt),,,
Poor man's outpainting,效果稍差的向外绘制,效果稍差的向外绘制,效果稍差的向外绘制,簡易アウトペインティング
Configure colors. See https://github.com/DominikDoom/a1111-sd-webui-tagcomplete#colors for info. Must be valid JSON.,颜色设置，必须是有效的JSON格式，详情参见https://github.com/DominikDoom/a1111-sd-webui-tagcomplete#colors,,,
Random number generator source. Changes seeds drastically. Use CPU to produce the same picture across different vidocard vendors.,选择生成随机数的设备（使用CPU时可使同一个设备上的多张不同厂家的显卡生成结果保持一致，但会彻底改变现有随机种子生成的结果，且无法保证不同设备均能得到一致结果）,,随机数产生源，GPU的话可能会因为显卡不同而导致图片不能复现，使用CPU的话可以较高的保证图片复现,
Parseq does,,,,パーセックは行います
"A value that determines the output of random number generator - if you create an image with same parameters and seed as another image, you'll get the same result",一个固定随机数生成器输出的值 - 以相同参数和随机种子生成的图像会得到相同的结果\n? 将随机种子设置为-1，则每次都会使用一个新的随机数\n?? 重用上一次使用的随机种子，如果想要固定输出结果就会很有用,一个固定随机数生成器输出的值 - 以相同参数和随机种子生成的图像会得到相同的结果\n? 将随机种子设置为-1，则每次都会使用一个新的随机数\n?? 重用上一次使用的随机种子，如果想要固定输出结果就会很有用,一个固定随机数生成器输出的值 - 以相同参数和随机种子生成的图像会得到相同的结果\n? 将随机种子设置为-1，则每次都会使用一个新的随机数\n?? 重用上一次使用的随机种子，如果想要固定输出结果就会很有用,乱数生成器の出力を決定する値。同じパラメーターとシードで画像を生成すると、同じ結果が得られます。
Optimizer,,,,オプティマイザー
Hypernet str.,超网络(Hypernetwork) 强度,超网络(Hypernetwork) 强度,超网络(Hypernetwork) 强度,
multiply,,,,乗算
VRAM usage polls per second during generation. Set to 0 to disable.,生成图像时，每秒轮询显存(VRAM)使用情况的次数。设置为 0 以禁用,生成图像时，每秒轮询显存(VRAM)使用情况的次数。设置为 0 以禁用,生成图像时，每秒轮询显存(VRAM)使用情况的次数。设置为 0 以禁用,生成中のVRAM使用率の取得間隔。0にすると取得しない。
Local Latent Upscaler. Target an area to selectively enhance details.,,,,Local Latent Upscaler（ローカル?ラテント?アップスケーラー）。領域を指定して、選択的にディテールを強調することができます。
openpose,姿态检测（openpose 模型，OpenPose 算法，仅姿态）,OpenPose 姿态检测（OpenPose pose detection）,姿态检测（OpenPose 算法，仅身体）,openpose
tp_google,,,,tp_google
(S9) Inter-Method,,(S9) 插值方法,(S9) 插值方法,
Filter by Selection,手工选择,,,選択範囲でフィルタリングする
Custom Name (Optional),输出模型文件名（默认与A同名，同目录下会覆盖）,输出模型文件名（留空则与模型A相同，同目录下会覆盖模型A）,输出模型文件名（留空则与模型A相同，同目录下会覆盖模型A）,名前 (任意)
extras,附加功能,附加功能,附加功能,その他
Select a component class or specific component.,选择 组件类 或 特定组件,,,
Use Lora in uc text model encoder,在负面提示词的文本编码器(text encoder)上使用LoRA（不建议开启）,在文字模型编码过程中对反向提示词也开启 LoRA（不建议开启）,在文字模型编码过程中对反向提示词也开启 LoRA（不建议开启）,
Presets,预设,,预设,プリセット
Gradient accumulation steps,,梯度累加步数(Gradient Accumulation Steps),梯度累加步数(Gradient Accumulation Steps),Gradient蓄積ステップ
Blend Average,平均混合,平均混合,平均混合,平均して混ぜる
stable-diffusion-webui-embedding-editor,Embedding 编辑器,Embedding 编辑器,Embedding 编辑器,stable-diffusion-webui-embedding-editor
ControlNet v1.1.7,扩散控制网络(ControlNet),,,
Choose Min-max to activate these controls,,,←从小到大的上下限,
Weight decay ? weight_decay,,,,Weight decay ? weight_decay
pix2pix_zero,,,,pix2pix_zero
Jinja2 templates,Jinja2 模板,Jinja2 模板,Jinja2 模板,Jinja2 templates
"On the menubar, go to",,,,メニューバー上の
Alternate Steps,交替迭代,交替迭代,交替迭代,ステップごとに交互に行う
te,,,,te
IN_A_02,,模型A 输入层02,模型A 输入层02,
tp_qqTranSmart,,,,tp_qqTranSmart
Leave empty to use the same name as model and put results into models/Unet-onnx directory,,,留空则使用与原模型相同的名称，并将结果放入models/Unet-onnx目录中。,
Info & Help,,,,情報&ヘルプ
"In the file explorer that appears, look for a folder called",,,,表示されるファイルエクスプローラで、呼び出されるフォルダを探します。
Max Caption length (0=unlimited),最大描述长度 (0 为无限制),最大描述长度 (0 为无限制),最大描述长度 (0 为无限制),
Approx NN,,,,近似最近傍(ANN)
Idle,,,,待機中
jumbo,,,,jumbo
Stable Diffusion,Stable Diffusion,,,Stable Diffusion
Stable Diffusion checkpoint,Stable Diffusion 模型(ckpt),Stable Diffusion 模型(ckpt),Stable Diffusion 模型(ckpt),Stable Diffusionのcheckpoint
"Save a copy of embedding to log directory every N steps, 0 to disable",每 N 步将 Embedding 的副本保存到日志目录，0 表示禁用,每 N 步将 Embedding 的副本保存到日志目录，0 表示禁用,每 N 步将 Embedding 的副本保存到日志目录，0 表示禁用,指定したステップ数ごとにEmbeddingのコピーをログに保存する。0で無効化。
Variable to get ? str,,,,取得する変数 ? str
Upscaler,放大算法,放大算法,放大算法,アップスケーラー
questionable,可疑内容/Questionable（强烈性暗示）,强烈性暗示/可疑内容（Questionable）,强烈性暗示/可疑内容（Questionable）,
(setting entries that appear at the top of page rather than in settings tab),,,（将出现在页面顶部而不是设置选项卡中的设置项）,
Scale Factor,放大倍率,缩放系数,缩放系数,倍率
Choose mode:,选择模式,,选择模式,
Pad Tokens,词元(Tokens)垫齐,词元(Tokens)垫齐,词元(Tokens)垫齐,パッドトークン
(A4) Primary,,(A4) 主要,(A4) 主要,
Center Crop,中心裁切,中心裁切,中心裁切,
ControlNet - 8,扩散控制网络(ControlNet) - 8,,,
Eta for ancestral samplers,,,先祖采样的Eta,
X Types,X轴类型,,,
Canny high threshold,硬边缘上限阈值（Canny high threshold）,强边缘判断阈值（Canny high threshold）,强边缘判断阈值（Canny high threshold）,
es,,,,es
Far schedule,,,,遠いスケジュール
IN08,,输入层08,输入层08,
tensor,张量替换（仅“加权和”可用）,,,
No,否,否,否,No
Merge,合并,合并,合并,マージ
Maximum attention,,,,Attentionの最大値
Style 1,模版风格 1,模版风格 1,模版风格 1,
Link to image page,,链接到图片页面,链接到图片页面,
Select a collection,,,,コレクションを選択
Fast Encoder may change colors; Can fix it with more RAM and lower speed.,快速编码可能导致色偏，启用修复将消耗更多内存和时间,快速编码可能会改变颜色，关闭后虽然计算更精确但是消耗巨量的显存和内存,快速编码可能会改变颜色，关闭后虽然计算更精确但是消耗巨量的显存和内存,高速エンコーダは色が変わる可能性があります。これはメモリを増やしたり低速にする事で改善できます。
reallybigname,,,,reallybigname
Options,,,,オプション
no-ema,舍弃ema信息,舍弃ema权重,舍弃ema权重,
Disabled when launched with --hide-ui-dir-config.,启动 --hide-ui-dir-config 时禁用,启动 --hide-ui-dir-config 时禁用,启动 --hide-ui-dir-config 时禁用,
Parseq Manifest (JSON or URL),,,,Parseq マニフェスト (JSON または URL)
Slow start,,,,Slow start
Reload UI,重启 WebUI,重启 WebUI,重启 WebUI,UIの再読み込み
Prompt word wrap length limit,,,提示词分块长度,
duplicate,重复的,,,複製
Show maximum width or height button,,,,最大幅または高さボタンを表示します
(lets you override the noise schedule for k-diffusion samplers; choosing Automatic disables the three parameters below),,,（允许您覆盖k-diffusion采样器的噪声调度器；选择自动则会禁用下面的三个参数）,
ControlNet v1.1.125,扩散控制网络(ControlNet),,,
Excudes (split by comma),排除项(逗号分隔),排除项(逗号分隔),排除项(逗号分隔),除外 (カンマで分割)
Aesthetic scorer,美学评分器,美学评分器,美学评分器,
Output animation path,,输出动画路径,输出动画路径,
"Runs txt2img, img2img, highres-fix at increasing dimensions and batch sizes until OOM, and outputs data to graph.",,,,Txt2img、img2img、highres-fixを、次元とバッチサイズを増やしてOOMまで実行し、データをグラフに出力する。
override,,,,上書き
3D Openpose Editor,3D Openpose 编辑器,,,3D Openpose Editor
portrait-c,,,,肖像画-c
schedule,,调度,调度,予約
Batch size,每批数量,每批数量,每批数量,バッチサイズ
Leave blank to save images to the same path.,留空则输出到输入目录下,留空则输出到输入目录下,留空则输出到输入目录下,空欄で同じパスへ画像を保存
Total num of layers (reload required),,,,レイヤーの数(反映にはUIの再起動が必要)
"If PNG image is larger than 4MB or any dimension is larger than 4000, downscale and save copy as JPG",如果 PNG 图像大于 4MB 或宽高之一大于 4000，则缩小并保存副本为 JPG 图片,如果 PNG 图像大于 4MB 或宽高之一大于 4000，则缩小并保存副本为 JPG 图片,如果 PNG 图像大于 4MB 或宽高之一大于 4000，则缩小并保存副本为 JPG 图片,
Directories,目录,目录,目录,ディレクトリ
"This SD extension allows you to turn posts from various image boorus into stable diffusion prompts. It does so by pulling a list of tags down from their API. You can copy-paste in a link to the post you want yourself, or use the built-in search feature to do it all without leaving SD.",,此扩展允许你将来自各种 booru 的图帖转换为提示词。它通过从对应的 API 中提取标签(tags)列表来实现。你可以自己复制粘贴你需要的图帖的链接，或者使用内置的搜索功能在不离开 webui 的情况下完成所有操作,此扩展允许你将来自各种 booru 的图帖转换为提示词。它通过从对应的 API 中提取标签(tags)列表来实现。你可以自己复制粘贴你需要的图帖的链接，或者使用内置的搜索功能在不离开 webui 的情况下完成所有操作,このSD拡張機能により、さまざまな画像の投稿を安定した拡散プロンプトに変換できます。 これは API からタグの一覧を引き出すことで行います。 自分で好きな投稿へのリンクをコピー&ペーストすることも、内蔵の検索機能を使ってSDを離れることなくすべてを行うことも可能です。
Control Model - 6,控制模型-6,,,
invert_mask: Inverts the mask (great in combination with multiple txt2masks),,,,invert_mask: マスク反転 (複数の txt2mask と組み合わせると最適)
"Be sure to check the 'Write prompts to file' checkbox if you don't want to lose the generated prompts. Note, one image is still generated.",不想丢失生成的提示词的话，需确保勾选 “将提示词写入文件”\n注意依然会生成一张图像,不想丢失生成的提示词的话，需确保勾选 “将提示词写入文件”\n注意依然会生成一张图像,不想丢失生成的提示词的话，需确保勾选 “将提示词写入文件”\n注意依然会生成一张图像,生成されたプロンプトを失いたくない場合は、必ず「プロンプトをファイルに書き込む」チェックボックスをチェックしてください。注意: 1つの画像が生成されたままです。
Body Parameters,身体骨架参数（尺寸调节）,,,
tp_qqFanyi,,,,tp_qqFanyi
"Use following tags to define how filenames for images are chosen: [steps], [cfg], [prompt_hash], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [model_name], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]; leave empty for default.",,,,"画像のファイル名として、以下のタグを使えます: [steps], [cfg],[prompt_hash], [prompt], [prompt_no_styles], [prompt_spaces], [width], [height], [styles], [sampler], [seed], [model_hash], [model_name], [prompt_words], [date], [datetime], [datetime<Format>], [datetime<Format><Time Zone>], [job_timestamp]; 空欄にするとデフォルト設定が使われます。"
Replace underscore in tag with whitespace,,,,タグ中のアンダースコアを空白に置き換える
Smart Preprocess,智能预处理,智能预处理,智能预处理,スマートプリプロセス
Colortextsecondary,Colortextsecondary,,,
Use TensorFloat 32,,,,TensorFloat 32を使用する
Image creation progress preview mode,图像生成过程预览的模式,图像生成过程预览的模式,图像生成过程预览的模式,画像の作成進行状況のプレビューモード
Use transformers models to generate prompts.,,,,トランスフォーマーモデルを使用してプロンプトを生成します。
Move or Delete Files,移动或删除文件,,,ファイルの移動または削除
Y grid (Disabled if blank),Y轴内容（留空时自动禁用Y轴）,,,
ms,,,,ms
Upscale by,放大倍率,放大倍率,放大倍率,アップスケール倍率
Append Flavor tags from CLIP,,,,CLIPからフレーバータグを追加
"Also, please set the booru selection here before using select or search.",,另外，在选择或搜索之前，请在这里设置你要用哪个 booru,另外，在选择或搜索之前，请在这里设置你要用哪个 booru,
Lora UNET Learning Rate,,,,LoRA UNET 学習率
How many batches of images to create,创建多少批次的图像,创建多少批次的图像,创建多少批次的图像,
Allow other script to control this extension,允许其他脚本对此扩展插件进行控制,允许其他脚本对此扩展插件进行控制,允许其他脚本对此扩展插件进行控制,他のスクリプトにこの拡張機能の操作を許可する
ControlNet v1.1.143,扩散控制网络(ControlNet),,,
[name],,,,[name]
Send to inpaint,>> 局部重绘,>> 局部重绘,>>局部重绘,inpaintに転送
model_A,模型A,,,
Enable Jinja2 templates,启用 Jinja2 模板,启用 Jinja2 模板,启用 Jinja2 模板,Jinja2 テンプレートを有効にする
Cutoff Weight,,,,Cutoff 重み
Author,作者,作者,作者,作成者
mask content ratio,内容蒙版比例（簇被视为前景的所含蒙版阈值）,,,
Add ALL Displayed,添加所有当前显示,,,表示されたすべてを追加
Subject Class,主体类别(Subject Class),主体类别(Subject Class),主体类别(Subject Class),サブジェクトクラス
Apply if any,,,如果适用的的话,
Subject B ? subject_b,,,,Subject B ? subject_b
tp__itranslate,,,,tp__itranslate
Apply changes (Reload UI),应用设置（重启 WebUI）,应用设置（重启 WebUI）,应用设置（重启 WebUI）,
Show Ground,,,,地面を表示
Append Trending tags from CLIP,,,,CLIPからトレンドタグを追加
uz,,,,uz
Result = A,获得与A完全相同的模型,获得与A完全相同的模型,获得与A完全相同的模型,Result = A
"Shuffle tags by ',' when creating prompts.",,"创建提示词时按 ',' 打乱标签(tags)","创建提示词时按 ',' 打乱标签(tags)","プロンプト作成時にタグを ',' 区切りでシャッフルする。"
(or open as text in a new page),,,(或者在新页面打开),
dog-anime,,,,犬のアニメ：
Abysz LAB 0.1.9 Temporal coherence tools,,,,Abysz LAB 0.1.9 時間的な一貫性ツール
Apply Lora to outputs rather than inputs when possible (experimental),尽可能将 LoRA 模型应用于输出而非输入(实验性选项),尽可能将 LoRA 模型应用于输出而非输入(实验性选项),尽可能将 LoRA 模型应用于输出而非输入(实验性选项),
"If the saved image file size is above the limit, or its either width or height are above the limit, save a downscaled copy as JPG",如果保存的图像文件大小超过限制，或者其宽度或高度超过限制，将其缩小的副本另存为 JPG 格式,如果保存的图像文件大小超过限制，或者其宽度或高度超过限制，将其缩小的副本另存为 JPG 格式,如果保存的图像文件大小超过限制，或者其宽度或高度超过限制，将其缩小的副本另存为 JPG 格式,保存された画像のファイルサイズが上限を超える場合、または幅と高さのいずれかが上限を超える場合は、縮小したものをJPGで保存します。
Control Model - 0,控制模型-0,,,
Translation First,翻译在前,翻译在上面,翻译在上面,選択言語を先に表示
txt2img_hr_scale,高分辨率修复-放大倍率,,,
(O9) Output ckpt Name,,(O9) ckpt 输出名,(O9) ckpt 输出名,
Heatmap image scale,,,,ヒートマップ画像のスケール
Fixed size to resize images to,调整图像大小到固定大小,调整图像大小到固定大小,调整图像大小到固定大小,比率を固定したままリサイズ
IN04,,输入层04,输入层04,
Remove Near %,近景排除（%）,近景排除（%）,近景排除（%）,
Send image to tag selection,,>> 标签(Tag)选择,>> 标签(Tag)选择,
pl,,,,pl
Highest possible roll ? _sides,,,,最高値の出目 <unk> _sides
Sample Prompts,,,,サンプルプロンプト
Images Browser,图库浏览器,图库浏览器,图库浏览器,
stable-diffusion-webui-tokenizer,词元分析器(tokenizer),词元分析器(tokenizer),词元分析器(tokenizer),stable-diffusion-webui-tokenizer
LoRA model name filter,LoRA 模型名称过滤器,LoRA 模型名称过滤器,LoRA 模型名称过滤器,LoRA モデル名フィルタ
Variable name ? verbatim,,,,変数名 ? verbatim
Extension that gets tags for saved gelbooru images in AUTOMATIC1111's Stable Diffusion webui,,,,AUTOMATIC1111のStable Diffusion webui上で、gelbooru画像のタグを取得する拡張機能
must be enabled,,,,有効にする必要があります
(in milliseconds),,,（单位：毫秒）,
ControlNet - 9,扩散控制网络(ControlNet) - 9,,,
How many batches of images to create (has no impact on generation performance or VRAM usage),,,,作成する画像のバッチ数 (生成パフォーマンスやVRAMの使用に影響を与えません)
description-based:,,,,説明に基づく：
ControlNet v1.1.113,扩散控制网络(ControlNet),,,
Leave blank to use same filename as original.,,留空以使用与原始文件相同的文件名,留空以使用与原始文件相同的文件名,空白のままの場合、元のファイルと同じファイル名を使用
available,可用值,,,
Sampler,采样方法 (Sampler),采样方法 (Sampler),采样方法 (Sampler),サンプラー
camelcase,,,,キャメルケース
Your huggingface token to use for cloning files.,用于下载文件的 huggingface 令牌(token),用于下载文件的 huggingface 令牌(token),用于下载文件的 huggingface 令牌(token),
spaceship-weird,,,,宇宙船演算子(weird)
Horizontal,按行分区,,,水平方向
Mask brightness adjust,,,,マスクの明るさ調整
settings for,,,,設定:
Generate Preview,生成预览,生成预览,生成预览,プレビューを生成
depth_leres,深度估算（depth 模型，LeReS 算法）,LeReS 深度信息估算（LeReS depth estimation）,深度检测（depth，LeReS 算法）,深度（LeRes）
Subseed strength schedule,,,,サブシード強度スケジュール
dog-ukioe,,,,犬の浮世絵
